INFO 2025-12-10 11:32:41,842 middleware_mejorado 8968 17076 [EXITO_POST] Usuario: admin | IP: 127.0.0.1 | Ruta: /accounts/login/
INFO 2025-12-10 11:32:41,885 middleware_mejorado 8968 17076 [ACCESO_GET] Usuario: admin | IP: 127.0.0.1 | Ruta: /dashboard/
INFO 2025-12-10 11:33:05,182 middleware_mejorado 8968 9904 [ACCESO_GET] Usuario: admin | IP: 127.0.0.1 | Ruta: /dashboard/
INFO 2025-12-10 11:33:25,512 middleware_mejorado 8968 11332 [ACCESO_GET] Usuario: admin | IP: 127.0.0.1 | Ruta: /dashboard/
INFO 2025-12-10 11:33:52,973 middleware_mejorado 8968 17076 [ACCESO_GET] Usuario: admin | IP: 127.0.0.1 | Ruta: /reportes/estadisticas/
INFO 2025-12-10 11:33:57,645 middleware_mejorado 8968 9904 [ACCESO_GET] Usuario: admin | IP: 127.0.0.1 | Ruta: /dashboard/
INFO 2025-12-10 11:43:26,358 middleware_mejorado 20216 17284 [ACCESO_GET] Usuario: admin | IP: 127.0.0.1 | Ruta: /dashboard/
INFO 2025-12-10 11:44:08,335 middleware_mejorado 20216 17680 [EXITO_POST] Usuario: admin | IP: 127.0.0.1 | Ruta: /accounts/login/
INFO 2025-12-10 11:44:08,391 middleware_mejorado 20216 17680 [ACCESO_GET] Usuario: admin | IP: 127.0.0.1 | Ruta: /dashboard/
INFO 2025-12-10 11:44:38,008 middleware_mejorado 20216 18672 [ACCESO_GET] Usuario: admin | IP: 127.0.0.1 | Ruta: /dashboard/
INFO 2025-12-10 11:44:40,834 middleware_mejorado 20216 19060 [ACCESO_GET] Usuario: admin | IP: 127.0.0.1 | Ruta: /dashboard/
INFO 2025-12-10 11:45:51,897 middleware_mejorado 6608 11460 [ACCESO_GET] Usuario: admin | IP: 127.0.0.1 | Ruta: /dashboard/
INFO 2025-12-11 08:14:45,352 middleware_mejorado 18900 8572 [ACCESO_GET] Usuario: admin | IP: 127.0.0.1 | Ruta: /dashboard/
INFO 2025-12-11 08:15:09,932 middleware_mejorado 18900 20440 [EXITO_POST] Usuario: admin | IP: 127.0.0.1 | Ruta: /luna-ai/chat/
INFO 2025-12-11 08:15:21,714 middleware_mejorado 18900 20440 [EXITO_POST] Usuario: admin | IP: 127.0.0.1 | Ruta: /luna-ai/chat/
INFO 2025-12-11 08:15:27,698 middleware_mejorado 18900 20440 [EXITO_POST] Usuario: admin | IP: 127.0.0.1 | Ruta: /luna-ai/chat/
INFO 2025-12-11 08:25:13,194 middleware_mejorado 7056 2200 [EXITO_POST] Usuario: admin | IP: 127.0.0.1 | Ruta: /luna-ai/chat/
